fid,objtype,lokalid,navnerom,versjonid,datafangstdato,oppdateringsdato,datauttaksdato,opphav,kommunenummer,navn,Turnover_capita_retail_Omsetning
"66",Kommune,2bdfc1fd-8d82-4680-8230-6deed0161941,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"4627",,"64902"
"67",Kommune,0e48ed51-ce27-45c0-b7bc-76ff37405c6a,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"1121",,"117090"
"68",Kommune,37ef1fcd-1a99-4f6c-bee4-41c70b8fc1cb,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"1146",,"51479"
"69",Kommune,9d37c2e1-9376-4b36-b56c-4116384e18d1,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"1144",,"42108"
"70",Kommune,fe5f31c2-8d83-4290-89ae-7a28632dd057,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"1135",,"90674"
"71",Kommune,f18707e6-8ce4-4b0b-b614-501ebb1692eb,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"1851",,"72748"
"72",Kommune,602ba259-f046-428c-ab57-ce0428bd5bb4,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20000630000000",,,"4601",,"105822"
"73",Kommune,728b21bc-5980-4fbd-bf23-86d22b0f8b68,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"5427",,"72903"
"74",Kommune,8fd2c6df-babc-4a49-ac5b-afdd390518d5,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"1860",,"116524"
"75",Kommune,5aad93ea-c518-4c26-8a75-d99d1c4322cc,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"1856",,"78527"
"76",Kommune,44af1277-ae62-491c-9918-23fba520b954,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"3417",,"58006"
"77",Kommune,4ccbb9f7-560e-4d5e-9dce-13be03868c75,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"3053",,"73422"
"78",Kommune,7ff82dc8-0271-4e0f-a758-cee0292b8ceb,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"3449",,"74365"
"79",Kommune,4df569ef-5dfd-4534-b057-7caf2fe8d49d,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"3013",,"56417"
"80",Kommune,1796b772-f145-4c22-a613-47b0be9a85c9,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20000630000000",,,"3806",,"88951"
"81",Kommune,c407bca0-3d6a-4bcd-8423-fa46adf31267,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20000630000000",,,"3822",,"100627"
"82",Kommune,3cd9325d-771b-427b-a4c0-85068ee74cbb,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"3420",,"109657"
"83",Kommune,ab1646a5-afb3-4c8b-8045-ce233ec8c039,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20050701000000",,,"3430",,"33273"
"84",Kommune,d4000778-bb1d-4f8c-a0d2-7788d5dda5c3,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20000630000000",,,"3052",,"97912"
"85",Kommune,600326ee-11ae-4d9d-bbaf-2ab459540995,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"3441",,"70454"
"86",Kommune,0db85919-28bf-4d3c-8972-130b0fb5376e,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20000630000000",,,"3039",,"162921"
"87",Kommune,3ff12043-3562-45a7-ad3a-093ae2b53999,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"1517",,"43447"
"88",Kommune,f630dc4c-6297-4a96-a93f-40e30422c131,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"3412",,"48719"
"89",Kommune,3e4c0835-3425-4f81-8cee-b047d5c559d4,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"1535",,"68862"
"90",Kommune,ec2a87f2-8dfa-4fb1-af0b-a9fc64979f14,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"4206",,"95605"
"91",Kommune,d5f5bcef-38b4-4bb5-93b8-cb68bf34746b,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"4648",,"39162"
"92",Kommune,d524ccd1-48fd-435d-ab78-75bc0c7bc2a7,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"1532",,"48256"
"93",Kommune,031025af-21ad-4f36-976d-7ab8f31c8910,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"3440",,"92497"
"94",Kommune,4dec3cc9-e515-4fa9-ba7f-9387e1c8800c,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"1818",,"102202"
"95",Kommune,1ab3cedd-013f-487a-9e8c-9a7f2c6f5354,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"1515",,"81674"
"96",Kommune,b7367e0d-2972-4d9c-93a5-431a10122ac3,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"5434",,"73671"
"97",Kommune,8bbe531e-9251-425a-aff7-06395d4e3e52,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"4213",,"125182"
"98",Kommune,f312a830-5884-4741-8b23-7e1352a1a113,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"5049",,"59243"
"99",Kommune,502e2b5d-2bf1-4dd6-a48f-0692e729f364,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"5020",,"34686"
"100",Kommune,2f058caf-4db8-454d-84df-ef7d633c5ed6,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"3405",,"127979"
"101",Kommune,e5aeee32-1cd2-4dc5-81d1-4a62460be55d,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"5052",,"58964"
"102",Kommune,acbef55a-a616-4845-ab4f-a5a9ea6b0e98,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"5437",,"52698"
