fid,name,note,opening_hours,website,wikipedia,postal_code,shop,Vinmonopolet
"314",Amfi Flekkefjord,,"Mo-Fr 10:00-20:00; Sa 10:00-18:00",,,"4404","17",false
"315",Amfi Orkanger,,"Mo-Fr 09:00-20:00; Sa 09:00-18:00",,,"7300","52",true
"316",Kuben Senter,,"Mo-Fr 10:00-20:00; Sa 10:00-18:00",,,"3510","58",true
"317",Handelshuset Foyn,ikke senter?,"Mo-Fr 10:00-20:00; Sa 10:00-18:00",https://www.foyntonsberg.no/,,"3136",mall,
"318",Hell Kjøpesenter,kommer ikke inn på nettside,"Mo-Fr 09:00-20:00; Sa 09:00-17:00",,,"7500",mall,
"319",Peer Gynt Kjøpesenter,,"Mo-Fr 10:00-18:00, Sa 10:00-16:00",,,"2640","13",false
"320",Sødorptunet,,"Mo-Fr 09:00-18:00; Sa 09:00-16:00",,,"2640","13",false
"321",CC Stadion,,"Mo-Fr 10:00-21:00; Sa 10:00-18:00",,,"2317","94",false
"322",,,,,,,,
"323",Linden Park,,"Mo-Sa 07:00-23:00; Su 09:00-21",,,"3187","16",false
"324",Bjørneparken kjøpesenter,,"Mo-Sa 10:00-18:00; Th,Fr 10:00-20:00; Su 12:00-18:00",,,"3539","24",true
"325",,,,,,,,
"326",Vaksdal Senter,sett p maps,"Mo-Fr 08:00-21:00; Sa 08:00-20:00",,,"5725","6",false
"328",,,,,,,,
"329",Amfi Elverum,,"Mo-Fr 10:00-20:00; Sa 10:00-18:00",https://amfi.no/kjopesentre/amfi-elverum/,,"2408","39",false
"330",Kilden Senter,,"Mo-Fr 10:00-20:00; Sa 10:00-18:00",https://kilden-senter.no/,,,"18",false
"331",Mastrevik torg,,"Mo-We 09:30-17:00; Tu-Fr 09:30-18:00; Sa 09:30-17:00",,,"5943","6",false
"332",Lindås senter,,"Mo-Fr 10:00-20:00; Sa 10:00-18:00",,,"5955","13",false
"333",Rong senter,,"Mo-Fr 10:00-20:00; Sa 10:00-16:00",http://www.rong-senter.no/,,"5337","11",false
